OBJECTID,countyfp10,geoid10,name10,namelsad10,notes,statefp10,tractce10,Name,Area_m2
1,31,17031838200,8382,Census Tract 8382, ,17,838200,55,2176
2,31,17031838200,8382,Census Tract 8382, ,17,838200,260/275,63277
3,31,17031837300,8373,Census Tract 8373, ,17,837300,244,54525
4,31,17031252202,2522.02,Census Tract 2522.02, ,17,252202,57,87939
5,31,17031838000,8380,Census Tract 8380, ,17,838000,128,42523
6,31,17031842900,8429,Census Tract 8429, ,17,842900,55,83487
7,31,17031841900,8419,Census Tract 8419, ,17,841900,153,82178
8,31,17031842300,8423,Census Tract 8423, ,17,842300,292,7932
9,31,17031843500,8435,Census Tract 8435, ,17,843500,157,3896
10,31,17031840800,8408,Census Tract 8408, ,17,840800,157,65097
11,31,17031271500,2715,Census Tract 2715, ,17,271500,244,34393
12,31,17031836600,8366,Census Tract 8366, ,17,836600,281,66960
13,31,17031836700,8367,Census Tract 8367, ,17,836700,281,22844
14,31,17031252201,2522.01,Census Tract 2522.01, ,17,252201,57,127
15,31,17031830500,8305,Census Tract 8305, ,17,830500,49,13409
16,31,17031301801,3018.01,Census Tract 3018.01, ,17,301801,49,74029
17,31,17031300800,3008,Census Tract 3008, ,17,300800,157,14786
18,31,17031240900,2409,Census Tract 2409, ,17,240900,281,1961
19,31,17031230800,2308,Census Tract 2308, ,17,230800,306,31661
20,31,17031240200,2402,Census Tract 2402, ,17,240200,324,2044
21,31,17031240300,2403,Census Tract 2403, ,17,240300,324,69109
22,31,17031230700,2307,Census Tract 2307, ,17,230700,306,4579
23,31,17031230900,2309,Census Tract 2309, ,17,230900,306,49779
24,31,17031241500,2415,Census Tract 2415, ,17,241500,324,17671
25,31,17031242000,2420,Census Tract 2420, ,17,242000,292,4114
26,31,17031243300,2433,Census Tract 2433, ,17,243300,292,37221
27,31,17031243400,2434,Census Tract 2434, ,17,243400,292,32694
28,31,17031250300,2503,Census Tract 2503, ,17,250300,16,79369
29,31,17031250400,2504,Census Tract 2504, ,17,250400,16,6953
30,31,17031251400,2514,Census Tract 2514, ,17,251400,268,86765
31,31,17031283100,2831,Census Tract 2831, ,17,283100,55,2100
32,31,17031282700,2827,Census Tract 2827, ,17,282700,128,15924
33,31,17031282800,2828,Census Tract 2828, ,17,282800,260/275,16280
34,31,17031280900,2809,Census Tract 2809, ,17,280900,128,10291
35,31,17031280800,2808,Census Tract 2808, ,17,280800,128,17181
